WKT,kenyaopendata:Boys Toilets,kenyaopendata:Costituency,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Male,kenyaopendata:Location,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:Province,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:boundary_type:Ward_boundary,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:phone,osm:education:curriculum,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_sanitary_towel,osm:education:pta,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:tsc_employed,osm:education:type,osm:electricity:operational_status,osm:id,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:is_in:constituency,osm:is_in:estate,osm:is_in:ward,osm:location,osm:name,osm:official_name,osm:operational_status:electricity,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:contact:email,osm:education:fees_level4,osm:education:fees_level5,osm:education:program_orphans,osm:education:student_age_range,osm:education:students_female,osm:education:students_male,osm:opening_hours,osm:education:boarding,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:program_counseling,osm:education:program_other,osm:education:program_special_needs,osm:education:program_sports,osm:education:staff_female,osm:education:staff_male,osm:media:video_device_number,osm:media:video_number,osm:operational_status,osm:education:fees_optional,osm:education:school_head,osm:image,osm:is_in:village,osm:operator:description,osm:education:description,osm:education:fees_sponsored,osm:source,osm:education:exam_affiliate,osm:education:teachers_untrained,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Code,kenyaopendata:Day or Boarding,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Public or Private,kenyaopendata:School Address,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Teaching staff,osm:education:fees_level6,osm:media:camera_device_number,osm:media:camera_number,osm:education:program_scouting,osm:education:program_description,osm:education:extra_other,osm:education:student_female,osm:education:student_male,osm:education:program_computers,osm:description,osm:station:type_description,osm:education:teachers_tsc,osm:designation,osm:security:gbv_support,osm:toilet:arranged_name,osm:education:program_specialneeds,osm:boundary_type:Constituency_boundary,osm:registered_voters,osm:building,osm:fee,osm:education:committees,osm:health_facility:referals,osm:medical_service:psychosocial_support_counselling,osm:medical_staff:counsellor,osm:medical_staff:description,osm:note,osm:contact:website,osm:addr:postcode,osm:website,osm:education:accessibility,osm:education:management_commitee,osm:education:program_WASH,osm:education:program_handwashing,osm:education:program_rain,osm:education:student_disable,osm:safe_place:acessible,osm:safe_place:compound,osm:safe_place:protected/secure,osm:safe_place:school,osm:security:description,osm:social_facility
"MULTIPOINT ((36.784261 -1.3130564))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,,ironsheets,ironsheets,,0725-003164,8_4_4,,yes,yes,yes,yes,4500,mixed,mgcsd,yes,,,,,58,3,,3,,,primary,never,node/748782275,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Miracle%20and%20Victory%20Children%20Center/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Miracle%20and%20Victory%20Children%20Center/receipt.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Miracle%20and%20Victory%20Children%20Center/building.JPG,,,,kibera,Miracle And Victory Children Centre,,,Miracle And Victory CBO,cbo,Gatwekera,arranged,melvinaakinyi@yahoo.com,1500 per term,1500 per term,yes,2-7yrs,32,26,08:00-15:00,,,,,,,,,,,03,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pee poo,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7882314 -1.3110883),(36.787668 -1.308246))",,LANGATA,KIBERA,,,,,,,,KIBERA,,,,,,,NAIROBI,,11.9,,,,,,,,,,,,,KIBERA ACADEMY-SEC SCH,2015/06/11,muindre,big_vehicles,school,,,ironsheets,ironsheets,2223-KNH,0708454795,8_4_4,yes,yes,yes,yes,yes,"17,700",mixed,,yes,yes,,,yes,50,6,0,6,6,,secondary,often,node/748782276,https://lh3.googleusercontent.com/L2aIzblqWij_XJi2l-qfnw-ThljaXoTeS_CncKDPC1Q=w912-h606-no,https://lh3.googleusercontent.com/re0zG0Yz1Y-UN8P0fO29_lTzcSBvqyYgnZTZYQNtQxg=w912-h606-no,https://lh3.googleusercontent.com/ElcN-HiBWSfM2gNBVrceZvX2ANNTYOQnwBu2u4Ghi7s=w403-h606-no,,,,,kibera,Kibera Academy Secondary School,KIBERA ACADEMY-SEC SCH,never,,private,Kambi muru,yes,,,,yes,15-17yrs,80,70,08:00-17:30,,,,,yes,,,yes,,,03,,operational,,Mr.Kioko,,,,,,,,2,2,59.5,R1010284,DAY ONLY,MIXED,0,0,2,2,ORDINARY,0,0,4,6,PRIVATE,2223-  NAIROBI,PRIVATE INDIVIDUAL,KAREN,KIBERA,0,0,119,10,"17,700",,,yes,,,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7847035 -1.3128282))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/23,muindre,small_cars,school,,1,ironsheets,ironsheets,P.O Box 62444,0720333119,8_4_4,,yes,yes,,,4500,mixed,mgcsd,yes,,,,,230,7,7,,5,,primary,never,node/748782277,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tumaini%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tumaini%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tumaini%20School/outside.JPG,,,,kibera,Tumaini Juniour Academy,,never,,religious,Kisumu Ndogo,yes,jakiny77@yahoo.com,1500 per term,1500 per term,,,,,,,1500 per term,1500 per term,1500 per term,,,,,,,,,,450 for lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7939243 -1.3095805),(36.7931221 -1.307009))",0,LANGATA,NAIROBI,DAGORETTI,0,0,0,PRIMARY SCHOOL,0,0,KENYATTA/GOLF COURSE,0,0,2,3,0,0,NAIROBI,28.4,28.4,,MIXED,DAY ONLY,ORDINARY,NGO/CBO,PRIVATE,0,72,142,70,5,0,GOODNEWS ACADEMY- PRI,2015/01/03,JamesLC,foot,school,,0,ironsheets,ironsheets,"P O Box 2382, Nairobi",0720455264/0722655395,8_4_4,,,,,,4500,mixed,mgcsd,,,fees,,yes,200,7,5,2,3,,primary,often,node/748803831,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Good%20News%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Good%20News%20Academy/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Good%20News%20Academy/busy%20kids.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Good%20News%20Academy/sign%20post.JPG,,,,kibera,Goodnews Academy,GOODNEWS ACADEMY- PRI,often,Goodnews Bibleways Church Worldwide,religious,Laini Saba,yes,christinekimeu2006@yahoo.com,,,yes,9months-14yrs,50,150,Mo-Fr 08:00-17:00,,,,,yes,,,yes,1,,,,operational,Food 500,,,,,,,,Calvery,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7940664 -1.3104588))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/08/25,Blasio,big_vehicles,school,,0,ironsheets,ironsheets,,,8_4_4,,,,,,0,mixed,mgcsd,yes,,fees,,,20,3,0,3,3,,vocational,often,node/748804441,,,,,,,,kibera,Don Bosco,,often,Catholic Church Laini Saba,religious,Laini Saba,yes,christkibera@yahoo.com,,,,18yrs and above,,20,Mo-Fr 08:00-15:00,,,,,yes,,,yes,2,,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7909557 -1.3098164),(36.790351 -1.307391))",,LANGATA,KIBERA,,,,,,,,KIBERA,,,,,,,NAIROBI,,14.8,,,,,,,,,,,,,MASHIMONI SEC SCH.,2015/01/03,JamesLC,foot,school,,0,mud,ironsheets,"P.O Box, 21717-00505,Nairobi",,8_4_4,,,,,,10500,mixed,mgcsd,,yes,fees,yes,,80,6,2,4,6,,secondary,often,node/748804547,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Secondary%20School/class.JPG,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Secondary%20School/compound.JPG,,,,kibera,Mashimoni High School,MASHIMONI SEC SCH.,sometimes,Mashimoni School CBO,cbo,Mashimoni,yes,,,,yes,14-19yrs,30,50,Mo-Fr 07:00-17:00,,,,,yes,,,yes,3,2,,,operational,exam_500_term,,,,,,,,,,2.8,42.1,R1010267,DAY ONLY,MIXED,0,0,3,3,ORDINARY,1,7,0,0,PRIVATE,21717-00505,PRIVATE INDIVIDUAL,KAREN,LAINI SABA,0,0,118,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7910807 -1.3099585),(36.790351 -1.307391))",6,LANGATA,NAIROBI,KIBERA,0,0,7,PRIMARY SCHOOL,0,0,LAINI SABA,4,0,6,5,0,0,NAIROBI,24.8,18,15.2,MIXED,DAY ONLY,ORDINARY,NGO/CBO,PRIVATE,2,104,198,94,8,0,MASHIMONI PRI SCH.,2018/01/26,muindre,foot,school,,0,mud,ironsheets,"P O Box 21717-00505, Nairobi",0723 749104,8_4_4,yes,,,,,6000,mixed,mgcsd,yes,,no,yes,yes,180,10,4,6,6,,primary,often,node/748804548,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Primary%20School/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Mashimoni%20Primary%20School/compound.JPG,,,,kibera,Mashimoni Primary School,MASHIMONI PRI SCH.,sometimes,Mashimoni School CBO,cbo,Mashimoni,yes,mashimonischool@gmail.com,,,yes,7-14yrs,105,75,Mo-Fr 07:00-17:00,,,,,yes,,,yes,3,2,8,7,operational,exam_150_term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7919443 -1.3096173))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/04/16,Blasio,foot,school,,0,mud,ironsheets,,,8_4_4,yes,,,,,1800,mixed,mgcsd,,,no,,,30,3,3,0,3,,pre_primary,never,node/748804550,,,,,,,,kibera,Jamhuri Assembly School (Closed),,never,ADC Church,religious,Mashimoni,yes,,,,yes,3-6yrs,18,12,Mo-Fr 08:00-15:00,,,,,,,,,2,,8,5,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7926827 -1.3109782),(36.791867 -1.308374))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,LAINI SABA,0,0,1,1,0,0,NAIROBI,6.3,9.5,9.5,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,1,0,19,0,3,0,PATMOS PRI SCH,2015/01/03,JamesLC,foot,school,,0,mud,ironsheets,"P O Box 21377-00505, Nairobi",0723659308,8_4_4,,,,,yes,4500,mixed,mgcsd,yes,yes,other,,yes,58,5,2,3,0,,primary,often,node/748804555,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Patmos%20Fellowship%20Nursery/classroom.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Patmos%20Fellowship%20Nursery/other.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Patmos%20Fellowship%20Nursery/outside.JPG,,,,kibera,Patmos School,PATMOS PRI SCH,never,Patmos Fellowship Church,religious,Mashimoni,yes,patfellochurch@yahooo.com,,,yes,3-7yrs,32,26,Mo-Fr 08:30-15:00,,,,,,,,,,,8,4,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.793513 -1.3129495))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,0,ironsheets,ironsheets,,0723 579270,8_4_4,,,,,,5400,mixed,mgcsd,yes,yes,other,,,75,6,4,2,3,,pre_primary,often,node/748804556,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Maranatha%20Laini%20Saba%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Maranatha%20Laini%20Saba%20Academy/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Maranatha%20Laini%20Saba%20Academy/sign%20post.JPG,,,,kibera,Maranatha Laini Saba Academy,,never,Maranatha Faith Assembly,religious,Mashimoni,yes,,,,yes,3-6yrs,42,33,Mo-Fr 08:00-15:00,,,,,,,,,1,,8,14,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carry food from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7949336 -1.3105546),(36.794175 -1.308289))",0,LANGATA,NAIROBI,KIBERA,0,0,0,PRIMARY SCHOOL,0,0,LAINI SABA,0,3,10,3,0,0,NAIROBI,,12.7,,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,0,0,165,0,0,0,KIBERA CHURCH OF GOD PRI SCH,2015/01/03,JamesLC,small_cars,school,,ground,mud,ironsheets,"P O Box 21706 00200, Nairobi",0724873997,8_4_4,,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,yes,yes,190,10,7,3,7,,primary,often,node/748805433,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Church%20of%20God%20Kibera/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Church%20of%20God%20Kibera/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Church%20of%20God%20Kibera/buildind.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Church%20of%20God%20Kibera/gate.JPG,,,,kibera,Kibera Church Of God Primary School,KIBERA CHURCH OF GOD PRI SCH,always,Church Of God Church,religious,Laini Saba,yes,,1800,2250,,9 months-14yrs,89,91,Mo-Fr 08:00-16:00,,1950,1950,1950,yes,,,yes,2,1,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7946133 -1.3130841),(36.793867 -1.310417))",4,LANGATA,NAIROBI,KIBERA,0,0,6,PRIMARY SCHOOL,0,0,LAINI SABA,1,2,5,4,0,0,NAIROBI,24.6,21.9,19.7,MIXED,DAY ONLY,INTEGRATED,RELIGIOUS ORGANIZATION,PRIVATE,2,89,197,108,8,0,KIBERA FREE METHODIST ACADEMY,2015/01/03,JamesLC,small_cars,school,,1,ironsheets,ironsheets,"P O Box 76229 -00508, Nairobi",07266045117,8_4_4,yes,no,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,yes,yes,260,13,7,6,13,,primary,often,node/748826131,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Chapel/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Chapel/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Chapel/verification.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Chapel/sign%20post.JPG,,,,kibera,Kibera Free Methodist Academy,KIBERA FREE METHODIST ACADEMY,,Kibera Free Methodist Church,religious,Laini Saba,yes,hanningtonamuga@yahoo.com,4050,6150,,4-16 years,133,127,Mo-Fr 08:00-16:00,,3600,3600,3600,,,,,2,2,,,,"exam_600_term, tuition 750",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.79323 -1.310448))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018/01/26,muindre,foot,school,,0,concrete,ironsheets,"P O Box 40185 -00100, Nairobi",0725712604,8_4_4,yes,,yes,,yes,4050,mixed,mgcsd,yes,,yes,yes,yes,581,16,2,8,7,,primary,often,node/748826133,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Magoso%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Magoso%20School/assembly.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Magoso%20School/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Magoso%20School/gate.JPG,,,,kibera,Magoso Primary School,,always,Lilian Akinyi,private,Mashimoni,yes,kjgmagoso@yahoo.co.uk,,,yes,2-15yrs,229,239,Mo-Fr 08:00-17:00,,,,,yes,computer classes,,,3,4,,,operational,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,4,yes,music and drama,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7961112 -1.314573))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,small_cars,school,,1,mud,ironsheets,"P O Box 41626 -00100, Nairobi",0700091270,8_4_4,,,yes,,yes,11250,mixed,mgcsd,yes,yes,fees,,,187,6,6,0,5,,pre_primary,often,node/748828881,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Academy/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Academy/kids.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Community%20Academy/sign%20post.JPG,,,,kibera,Kibera Community Academy,,always,Springs Of Love,religious,Laini Saba,yes,springsaca@yahoo.com,,,,3-25yrs,95,92,Mo-Fr 08:00-16:00,,,,,yes,,,yes,,3,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.780417 -1.3128694))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/08/22,muindre,small_cars,school,,0,concrete,asbestos,,0728992988,8_4_4,,,,,yes,,mixed,,no,yes,yes,,,,5,2,3,5,0,primary,always,node/748833033,,,,,,,,kibera,Green House Pre-Unit School For Deaf,,sometimes,Kenya Deaf Aid,ngo,Olympic,yes,kenya@deafaid.org,,,,3-11yrs,11,13,8hours,no,,,,,,yes,yes,3,,,,operational,,Dorcas Kathoni,,,Dorcas Kathoni,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,01,23,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7778436 -1.3143525))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,big_vehicles,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,pre_primary,,node/748833035,,,,,,,,kibera,Valley of Hope,,always,,private,Olympic,,,,,,3-5yrs,10,10,07:00-16:00,,,,,,,,,,1,,,operational,,,,,No information was given,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.779837 -1.3138193))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,vocational,,node/748833039,,,,,,,,kibera,Kibera Center For Evangelization,,always,,religious,Olympic,,,,,yes,adult,30,34,09:00-20:30,,,,,yes,,,,,2,,,operational,,,,,No information was given,Religious Institution,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,01,28,,Epowering youths in Business and Mentorship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7775676 -1.3147643))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,0,concrete,ironsheets,"P O Box 42123-00100, Nairobi",0703870822,Directorate of Industrial Training,no,,,,,"Tailoring 13500,hairdressing 31500,electrica intallation 18000",mixed,yes,,,no,,,37,6,3,3,6,0,vocational,always,node/748833040,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Childs%20life%20Olympic%20Vocational%20Centre/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Childs%20life%20Olympic%20Vocational%20Centre/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Childs%20life%20Olympic%20Vocational%20Centre/Sign%20Post.JPG,,,,kibera,Childlife Olympic Vocational Centre,,,John Maina,cbo,Olympic,yes,vocationalolympic@gmail.com,,,,adult,30,7,08:00-16:00,,,,,,,,,,,,,operational,,John Maina,,,,"Offers training on tailoring,hairdressing and electrical courses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
